Entity1,Relation,Entity2
Amazon region,contains,biodiversity
Amazon region,source of,water
Amazon region,source of,food
Amazon region,is,ecological treasure
Amazon river,flows,rainforest
Amazon river dolphin,is,species
Amazon river dolphin,found in,freshwater
Amazon residents,lives in,urban settings
Amazon region,supports,activities
Amazon region,lost,millions hectares forest
Amazon biome,has experienced,mining boom
Amazon biome,face,mercury contamination
Amazon region,need,comprehensive measures
Amazon biome,included,market mechanisms
Amazon biome,composed of,eight countries
Amazon biome,experienced,mining boom
Amazonian departments,not included,national mining census
Amazon region,integrated with,mercury trade markets
Amazon biome,is connected,global mercury trade
Bolivian Amazon,has,beni river
Amazon river basin,starts in,Peru
Amazon river basin,ends in,Brazil
Amazons freshwater systems,spread,mercury contamination
Bolivian Amazon,is,vulnerable
sinchi Amazonian institute,carried,physicalchemical analysis
Amazon region,exists in,legal title
Amazon region,becoming concern for,minamata convention
Amazon region,is,legalizing mining activities
Amazon populations,exposed to,mercury pollution
Amazon soil,contains,mercury contamination
Amazon basin,recycles,rainfall
Amazon basin,contributes to,biodiversity
carnegie Amazon mercury ecosys tem project,indicates,mercury contamination
Amazonian countries,reported,total mercury imports
ASGM,provides,livelihoods
gold exports,measured in,billion usd
ASGM,conducted by,individuals
ASGM,conducted by,small enterprises
gold production,found in,Amazon region
gold particles,mixed in,soil riverbeds
gold,burned with,mercury amalgams
gold markets,need to,reduce emissions
igm,is in,latin america
ASGM,boom in,the world
ASGM,shifted from,historically important sites
ASGM,shifted to,low and middleincome countries
three million women,works in,ASGM
children,works in,ASGM
gold,separated from,mixed materials
gold,is in,sands
gold,is in,soils
gold,is in,sediments
mercury-gold amalgam,placed on,metal pan
mercury-gold amalgam,heated by,blowtorch
gold,left behind,boiling point reached
gold boiling point,is higher than,mercury
gold rushes,found in,nineteenthcentury California
ASGM,found in,Colombian Amazon
gold trade actors,overlap,gold trade flows
gold production,found in,Bolivia
gold,produced,mercury
gold miners,consume,metric tons mercury
ASGM,has,negative impact
ASGM,located in,madre de dios
ASGM,located in,puno
ASGM,located in,puerto maldonado
gold markets,maintained by,frontier companies
gold particles,are isolated from,lighter minerals
gold,undergoes,purification process
ASGM,located in,Venezuela
ASGM,cause,deforestaon
ASGM,has been going,through the Amazon
ASGM,exists in,Amazon region
gold markets,is,WHO standard
ASGM,extracts,minerals
gold extraction,varies on,input factor
igm,includes,mercury
better gold initiative,is,BGI project
better gold initiative,will be,complicated
better gold initiative,related to,comprehensive platform
igm,is,responsible for mercury pollution
igm,avoided,regulations
igm,avoided,management plans
gold recovery processes,should respect,environment
ASGM,located in,Brazil
ASGM,found in,sri market
gold,found in,national government entity
gold,has,fairmined certification
ASGM,found in,conflict zones
gold certification,should be,promoted
gold,found in,industrial mines
ASGM,is,an activity
gold mineral deposits,are,concentrated
gold production,came from,gold ore
gold ore,mined at,extraction sites
ASGM,caused,environmental destruction
ASGM,is,gold mining
ASGM,suggests,support formalization
ASGM sector,leads to,certification
ASGM sector,leads to,supply chain traceability
ASGM sector,participate,certification process
ASGM,stands for,artisanal and small-scale gold mining
ASGM,focused on,greenstone belt
mercury,released to,water
mercury,contaminates,plants
mercury,contaminates,animals
mercury,impacts,health
minamata convention,defines,ASGM
mercury,used in,amalgamation
mercury,used to recover,gold
mercury,released to,environment
mercury,is,a natural element
mercury contamination,poses,risks
mercury,is considered,persistent contaminant
mercury contamination,found in,whole world
mercury contamination,can not be,destroyed
mercury contamination,must be,regulated
mercury contamination,has decreased in,global north
mercury contamination,has increased in,global south
mercury contamination,contributes to,mercury emission
mercury mining,occurs in,Amazon region
mercury contamination,emitted,mercury rich sediments
mercury contamination,found in,latin america
mercury contamination,found in,Amazon region
mercury contamination,found in,soil
mercury contamination,found in,water
mercury,used in,ASGM
mercury emissions,released to,Amazon region
mercury,found in,fish
mercury contamination,is a,huge problem
mercury contamination,investigated in,countries
mercury,released to,atmosphere
mercury contamination,affects,fish
mercury contamination,affects,people
mercury bioaccumulation,alter,Amazonian ecosystems
mercury,should be included in,discussions of dams
mercury markets,includes,ASGM
mercury contamination,has been,a concern
mercury contamination,gained,attention
mercury contamination,found in,environments
mercury bioaccumulation,found in,food chain
anthropogenic mercury,relased to,atmosphere
anthropogenic mercury,occurred in,nineteenth century
mercury emissions,declined in,europe
mercury emissions,declined in,united states
mercury emissions,increased in,global south
mercury,used in,separation process
mercury,pass,gas
mercury storage,cause,mercury contamination
mercury,become volatile in,gold amalgamation
mercury contamination,can be,persistent contaminant
mercury contamination,emitted to,atmosphere
persistent contaminant,can travel,atmospheric currents
mercury demand,has risen,past ten years
mercury demand,rose because of,gold mining
mercury contamination,affect,Amazonian communities
mercury,used in,Amazon region
mercury production,found in,latin america
mercury,used in,mining sites
mercury,imported from,mercury-producing countries
local mercury suppliers,connected by,gold value chain
mercury,sold to,transnational contraband networks
illegal mercury market,cross,borders
illegal mercury market,reported in,newspapers
mercury,can be obtained from,border areas
mercury contamination,found in,Bolivias northern Amazon
mercury,used in,chloralkali industry
mercury,used in,mining activities
mercury,entered through,sea
mercury,entered through,Ecuador
mercury-producing countries,were,germany
mercury-producing countries,were,spain
mercury-producing countries,were,belgium
mercury-producing countries,were,united states
mercury-producing countries,were,netherlands
mercury,used in,ASGM
illegal mercury market,located in,border of Peru
mercury,is tested in,hair samples
hair samples,collected from,inhabitants
mercury,entering,Peru
mercury,transported by,land
mercury,transported by,water
mercury,used in,gold mining
mercury,used in,oil industries
mercury,used in,petrochemical industries
mercury,used in,caustic soda plants
mercury,is smuggled to,Suriname
mercury,is hidden in,shipments
mercury,used in,dental amalgams
mercury,can be,mislabeled mercury
mislabeled mercury,is mislabeled,when shipped
mislabeled mercury,is not,correctly declared
illegal mercury,can be purchased,border areas
mercury,illegally obtained from,Peru
mercury,entering,Colombia
mercury,imported from,Mexico
mercury,used in,witchcraft
mercury,used in,homemade explosives
mercury,impact,environment
mercury,impact,human health
mercury,is applied to,materials
mercury,biomagnify,land ecosystems
mercury,biomagnify,aquatic ecosystems
mercury emissions,affect,terrestrial food chains
mercury,transformed in,bioavailable forms
mercury emissions,affect,food chains
mercury concentrations,are higher in,carnivorous fish
mercury concentrations,are higher in,detritivore fish
mercury concentrations,researched in,turtle species
mercury contamination,found in,fish
mercury contamination,found in,plants
mercury,enters,human body
mercury,creates,mercury emissions
mercury emissions,cause,mercury contamination
mercury contamination,leads to,mercury poisoning
mercury poisoning,leads to,diseases
mercury poisoning,leads to,skin irritation
mercury poisoning,leads to,fever
mercury poisoning,leads to,headaches
mercury poisoning,leads to,nausea
mercury poisoning,leads to,diarrhea
mercury poisoning,leads to,fatigue
mercury poisoning,leads to,insomnia
mercury poisoning,leads to,irritability
mercury poisoning,leads to,diminished sensorial acuity
mercury poisoning,leads to,blindness
mercury poisoning,leads to,renal problems
mercury poisoning,leads to,memory loss
mercury poisoning,leads to,tremors
mercury poisoning,leads to,brain damage
mercury poisoning,leads to,neurological disorders
neurological disorders,cause,vision loss
neurological disorders,contributes,premature death
mercury emissions,endangers,lifestyles
mercury emissions,endangers,nutrition
mercury emissions,endangers,health
mercury emissions,endangers,cultural integrity
mercury,spilled on,land surfaces
mercury contamination,released in,rivers
mercury emissions,evaporates from,gold amalgams
mercury emissions,emitted from,mercury rich soils
mercury,releases,mercury emissions
mercury pollution,received,attention
mercury pollution,threatens,species health
mercury pollution,threatens,species wellbeing
mercury,accumulated in,food chain
mercury,exceeded,normal mercury limits
normal mercury limits,set by,world health organization
mercury,pose,risks
risks,refers to,mercury poisoning
mercury,alters,health conditions
mercury particles,is,inhaled
mercury particles,is,consumed
impacts of mercury,threaten,economic productivity
mercury particles,found in,hair
mercury poisoning,cause,reduced neurological function
mercury contamination,harm,crops
mercury pollution,found in,the Amazon
mercury poisoning,reduces,mortality
mercury,can enter,the food web
mercury,burn from,ASGM
mercury,emitted from,biomass burning
mercury,transforms into,methylmercury
mercury contamination,exists in,San Simon highlands
mercury,used in,guanay
mercury,cause,contamination
mercury,emitted to,atmosphere
mercury contamination,is a,common topic
mercury emissions,impact,environment
mercury emissions,impact,health
mercury,found in,Colombia
mercury emissions,impact,soil
mercury emissions,impact,air
mercury concentrations,impact,people in communities
mercury contamination,threatens,health
mercury contamination,found in,alluvial sediments
mercury contamination,found in,vulture catfish
mercury contamination,found in,pink dolphins
mercury concentrations,found in,hair samples
mercury contamination,related to,significant public health problem
mercury concentrations,cause,neurological sensorial problems
mercury concentrations,cause,reproductive problems
mercury concentrations,found in,fish
mercury contamination,is related,gold mining
national mercury emissions inventory,uses,unep toolkit
mercury,operates in,distribution networks
mercury markets,should have,control measures
mercury emissions,increases with,gold recovery rates
smuggling mercury,violate,regulation
mercury use,has not,been prohibited
mercury exports,were,banned
topic of mercury,has been,actos agenda
topic of mercury,tends to be,included in conversation
mercury markets,found in,latin america
mercury,has,impacts
mercury contamination,affect,Amazon biome
mercury,found in,precambrian rocks
mercury,found in,gold amalgamation process
mercury contamination,found in,food chain
mercury biomonitoring,carried on,chemical water studies
mercury,not incorporated in,research
mercury,included in,discussions
mercury exposure,found in,local communities
mercury,emitted,each year
mercury,found in,Amazon region
mercury emissions,caused by,excessive mining
unidos global mercury project,had,project on health monitoring
mercury compounds,used in,ASGM
mercury exposure,found in,humans
mercury exposure,found in,animals
mercury concentrations,exceeded,mercury reference levels
risk mercury exposure,poses,human and environmental health
mercury contamination,have been,documented
mercury poisoning,have been,documented
mercury emissions,impact,health
mercury emissions,impact,environment
mercury contamination,seen in,guayana Venezuela
mercury contamination,seen in,yekuana communities
mercury contamination,seen in,sanema communities
mercury concentrations,found in,Guyana
mercury contamination,released to,aquatic systems
mercury concentrations,documented in,alluvial sediments
mercury,was prohibited,France
mercury contamination,found in,soil sediments
mercury contamination,found in,fish
mercury contamination,found in,humans
mercury contamination,found in,upper negro river
mercury contamination,found in,tapajs river
mercury contamination,found in,apiacas reserve
mercury contamination,found in,amapas
mercury concentrations,exceed,world health organizations standards
mercury emissions,result in,high temperature mineral processing
mercury contamination,found in,contaminated animals
mercury,can be found in,whole world
mercury exports,aim to,limiting mercury use
mercury,used in,dental amalgams
mercury,used in,chlor-alkali
mercury,used in,non-ferrous metal production
mercury,used in,measuring devices
mercury imports,decreased in,year 2010
mercury imports,increased in,year 2008
mercury imports,increased in,year 2015
governments,enact,antimercury policies
government officials,dismissed,research on mercury pollution
governments,recognizes,validity of research
governments,designed,mercury plan
governments,include,Colombian government
governments,include,Peruvian government
governments,include,Surinamese government
Colombian government,presented,proposal
governments,committed to,reduce mercury use
Peruvian government,ratified,minamata convention
government,developed,program
government,launched,caura plan
government,is promoting,mega mining project
Surinamese government,receive,support for mercury research
governments,implemented,plan to reduce mercury pollution
governments,demonstrate,rigorous implementation
governments,demonstrate,monitoring
governments,demonstrate,enforcement of law
governments,offer,encouragement
governments,convince,stakeholders
governments,offer,tax incentives
governments,consider,special programs
governments,continue,inaction
governments,undertaking,measures
governments,emphasized,commitment
rainfall,delivers,water
river,supports,industry
water levels,protect,wildlife habitats
water cycle,provides,freshwater
water,is source of,food
chemical water studies,studied with,biological matrices
water systems,found in,Amazon region
soils,contain,Brazil
large dams,are associated with,mercury emissions
tucuru dam,is in,Brazil
freshwater system,comprises,Amazon basin
fish,have unique,migratory patterns
fish,breeds in,Andean foothills
fish,found in,Amazon basin
fish,found in,south america
carnivorous fish,contained,mercury concentrations
fish markets,provides,revenue
frequency fish consumption,exposure,methylmercury
contamination fish,associated,mining
fish,found in,Amazon region
fish markets,are in,cities
fish markets,are in,huepetuhe area
fish,found in,rivers
fish,surpassed,recommended mercury concentration
fish,found in,Andean region
fish,are,main source of food
fish,consumed by,madre de dios community
fish populations,demonstrated,high mercury concentrations
dorado catfish,is,species
dorado catfish,depend on,Amazon rivers water quality
migratory animals,transport,mercury contamination
migratory animals,contributes,mercury pollution
contaminated animals,eaten by,predators
predators,found in,food chain
jaguars,are considered,predators
jaguars,hunts in,rivers
jaguars,play,an important role
jaguars,maintain,healthy population levels
healthy population levels,related to,wild animals
jaguars,exposed to,mercury contamination
rural residents,depend on,environment
rural residents,have,few opportunities
rural residents,inhale,mercury emissions
indigenous people,live in,Amazon region
yanomami,are,indigenous people
yekwana,are,indigenous people
wayana,are,indigenous people
indigenous peoples,dealing,illegal mining
indigenous peoples,have,highest risk of mercury contamination
Indigenous peoples,consume,contaminated food
Indigenous peoples,consume,contaminated water
Indigenous peoples,affected by,mercury contamination
un special rapporteur on the rights of indigenous peoples,have been presented,Yanomami tribes
indigenous peoples,inhabited,Brazilian Amazon
indigenous peoples,live in,villages
indigenous peoples,live in,towns
indigenous peoples,live in,cities
yanomami indigenous group,presented,mercury levels
yekwana indigenous group,presented,mercury levels
un special rapporteur on the rights of indigenous peoples,received,report on mercury pollution
indigenous peoples,consume,hydrobiological species
indigenous peoples,work in,mining sites
indigenous peoples,eat,fish
wayana indigenous group,live in,apetina River
wayana indigenous group,live in,Lawa River
indigenous peoples of the northern arch,have risk of,mercury contamination
indigenous peoples,live in,border areas
un special rapporteur on the rights of indigenous peoples,presented,mercury contamination
indigenous peoples,are dealing,illegal mining
indigenous peoples,are dealing,uncontrolled use of mercury
indigenous organizations,conspired with,soldiers and the National Guard
yekwana indigenous group,released,project on health monitoring
sanema indigenous group,released,project on health monitoring
penn indigenous group,released,project on health monitoring
indigenous peoples,generating,mining activities
indigenous peoples,lease,land
indigenous peoples,are in,rural lowincome communities
indigenous peoples,have,limited access
limited access,is to,education
indigenous peoples,receive,compensation
indigenous peoples,shaped,lives and customs
indigenous peoples,found in,mid and lowercaquet river
Davi Kopenawa,lead of,indigenous people
Davi Kopenawa,presented,report
indigenous peoples,conspired with,miners
wayana indigenous group,located in,apetina
activities,including,fishing
activities,including,mining activities
activities,including,forestry
activities,including,tourism
activities,have driven,extensive infrastructure construction
activities,can pollute,local freshwater resources
activities,have,consequences
governments,supports,activities
mining activities,result in,deforestation
mining activities,result in,environmental pollution
mining activities,use,mercury
mining activities,need,research
mining activities,occur in,latin america
mining activities,occur in,Guyana
mining activities,are,partly mechanized
mining activities,focus on removing,alluvial sediments
igm activities,include,guerrilla and criminal gangs
ASGM activities,take place in,areas
ASGM activities,can be of,dangerous type
economic activities,are,infrastructure construction
mining activities,need,environmental license
mining activities,need,legal permit
human activities,causing,soil erosion
vein mining activities,occur in,headwaters
monitoring activities,implemented in,departments
activities,mitigate,environmental damage
gold mining activities,refer to,gold mining
mining activities,have,objectives
mining activities,occur in,Amazon region
mining activities,caused,serious effects
economic activities,found in,Suriname
economic activities,found in,Amazon region
igm activities,include,extortion
igm,refers to,illegal gold mining
igm activities,release,mercury
igm activities,increased,mercury concentrations
igm activities,result from,waste dumped
igm activities,removed,forest covers
igm activities,extracted,alluvial sediments
igm activities,dumped,waste products
igm activities,increase in,Amazon region
igm activities,increase in,latin america
ACTO,stands for,Amazon Cooperation Treaty Organization
ACTO,implemented,actions
ACTO,foster,development
ACTO,promoted,security
ACTO,issued,plan
ACTO,has,interest
ACTO,planned,dialogue on cooperation agenda
ACTO,proposed,actions on health agenda
ACTO,elaborating,regional proposal
ACTO,held,meeting
individual or small mining business,refers to,ASGM actors
ASGM actors,discredited,research
ASGM actors,promote,gold markets
ASGM actors,work with,partners
ASGM actors,failed to achieve,sustainable change
ASGM actors,operate outside,legal frameworks
ASGM actors,avoid,"scrutiny, regulation or taxation of their activities"
ASGM actors,are displaced by,mine land acquisition
ISM actors,need,ASGM actors
ASGM actors,seek,plans
contractors,are awarded,construction roles
contractor and his team,earned,livelihoods
ASGM factors,drive,opportunistic intrusions
security contractors,arising from,acts of violence against mine personnel
security contractors,arising from,pressure exerted on their families
security contractors,co-ordination,gendarmes
security contractors,are subject to,intimidation
ASGM actors,operate,informal sector
ASGM actors,operate without,formal supply chains
ASGM actors,sell at,global spot prices
ASGM actors,are,middlemen
ASGM actors,lack,mainstream gold markets
ASGM actors,lack,reputable processing facilities
ASGM actors,lacks,diligence information
ASGM actors,provide,formal market participants
supply chain actors,may provide,due diligence support
ASGM actors,attempts to de-risk,supply chains
ASGM actors,have connections between,mercury value chain
ASGM actors,are in,fishing food chain
ACTO,have shown,environmental and human health effects of mercury
ACTO,has promoted,chemical security
ACTO,works with,Brazilian Ministry of Environment
ACTO,works with,US State Department
ACTO,managing,igm activities
ACTO,proposed,project on health monitoring
ACTO,reiterated,interest in this issue
ACTO,remains to,implement the project
ACTO,planned,dialogue and conciliation actions among the member countries
ACTO,planned,regional health management in the new international environmental
ACTO,is based on,global context
ACTO,is based on,Ministries of Health
ACTO,is based on,Millennium Development Goals
ACTO,is based on,PAHO/WHO Health Agenda
ACTO,is based on,Five-Year Health Plan
ACTO,is based on,international conventions
ACTO,is based on,Paris Climate Change Agreement
ACTO,is based on,WHO International Health Regulations
ACTO,is based on,Minamata Convention
ACTO,has created,forums for dialogue
ACTO,will support,health systems
ACTO,is elaborating,regional Proposal for Health Protection
ACTO,has suggested to hold,second Amazonian Regional Meeting
ACTO,held,meeting in September 2016
ACTO and IADB indigenous peoples,seeks,Amazonian countries
ACTO,has been on the agenda of,mercury
ACTO,has made progress to position,work plan and agendas
ACTO,promotes,mercury-free gold markets
agriculture and mining,lead to,forest clearing
mining,is an,important economic sector
mining sector,is dominated by,largescale corporations
miners,are,members of communities
mining,remains,core part in Amazon region
mining boom,fosteres,sustained rise
minamata disaster,depend on,balance of mining and environment
minamata disaster,motivated,combined efforts of different countries
miners,combine,mercury with gold amalgam
ASGM,causes,mercury pollution
ASGM,is in,demand
mining techniques,used in,Amazon region
illegal mining,found in,Amazonian countries
mining expansion,found in,Amazon region
mining investors,search,new business
mining frontier,expands to,new lands
miners,connected to,mining activities
mine owners,have agreements with,miners
mining expansion,affects,local production systems
minamata convention,restricted,mercury exports
small cinnabar mine,existed in,coffee region
ASGM,primarily in,Peru and Ecuador
mining areas,include,nambija
mining areas,include,bella rica
mining districts,include,puerto kaituma
mining districts,include,bartica
mining districts,include,mahdia
nonferrous metal mining,found in,French Guiana
mining company,collects,mercury
illegal miners,exploit,gold production
miners,resorted,illegal tactics
illegal mining,bolstered by,machinery
illegal mining,bolstered by,protection armed groups
illegal mining,has increased,mercury concentrations
miners,belong to,communities
miners,excavate,alluvial sediments
miners,search,small pieces of gold
miners,mix,liquid mercury
small mines,emit,metric tons mercury
mining region,receive,mercury
minamata convention,identifies,management sites
ministry of environment,conducted,inventory check
ministry of health,conducted,bibliographic compilation
mining expansion,affect,local gold production systems
ministry of environment,promoted,ASGM actors
choc region,is,impacted by mining
mining areas,include,quira huila
dynamics mining,is,politically contested
minerals,are,strategic resource
mining law,declared,special regime
ministerial agreement,restricted,production of mercury
ministerial agreement,restricted,trade of mercury
ministerial agreement,restricted,use of mercury
ministerial agreement,restricted,possession of mercury
ministry environment,created,registry system
ministry,undertaken,project on health monitoring
ministry of health,is developing,management model
ministry of environment,held,meetings
