Entity1,Relation,Entity2
prohibition,related to,mercury mining activities
management model,reduces,use of equipment
management model,substitute,use of equipment
management model,eliminate,use of equipment
equipment,can contain,mercury
Ecuador,is participating,latin american and caribbean mia project
control mechanisms,to reduce,effects of mercury pollution
effects of mercury pollution,related to,mercury
legislative decree no. 217,classifies,effects of mercury pollution
legislative decree no. 217,mandates,measures of mercury pollution
measures,to regulate,control
control,found in,countries
goal,is to,reduction measures
reduction measures,related to,mercury use
Peru,include,prohibition
prohibition,related to,mercury use
countries,possesses,mining environmental liability law
cincia,developed,project
project,have worked,restoring
restoring,related to,landscapes
restoring,related to,environmental liabilities
Peruvian legislation,dictates,measures
measures,related to,control and oversight
control and oversight,related to,distribution
control and oversight,related to,transportation
control and oversight,related to,trade
Peru,has,gold initiatives
comprehensive platform,related to,smallscale mining
Peruvian legislation,facilitated,minamata conventions adoption
minamata conventions adoption,conducted by,joint efforts
joint efforts,occurred,Bolivia
joint efforts,occurred,Colombia
joint efforts,occurred,Brazil
multisector actions,took place in,several state agencies
several state agencies,implement,minamata convention
multisector actions,approved,legislative decree
Venezuela,implemented,several actions
countries,prohibited,illegal gold mining
program,aimed at,eliminating igm
caura plan,achieved,eradication igm
macdesa,has achieved,fairmined certification
press statement,is for,projects
projects,is on,radio noticias Venezuela
joint efforts,observed,mining activities
conflicts,are between,miners
conflicts,are between,indigenous communities
law,has,technical guidelines
technical guidelines,control,environmental effects
law,has,declaration
declaration,related to,state control
state control,related to,gold mining
state control,related to,exploration activities
special programs,reduce,mercury contamination
special programs,provide,medical attention
special programs,have,education program
education program,related to,health risks
health risks,are from,mercury contamination
Venezuela,working on,national action plan
national action plan,implemented on,minamata convention
Guyana,is trying to,minimize mercury pollution
Guyana,is trying to,eliminate mercury release
concepts,should become,required condition
required condition,is for,employment
employment,has increased in,countries
Guyana,need to create,alternative solution
alternative solution,are for,mining mercury
alternative solution,are for,modernizing technology
modernizing technology,reduce,dependency
dependency,related to,metal
metal,is fostering,sustainable gold mining practices
metal,is fostering,efficient gold mining practices
metal,is fostering,ecological gold mining practices
technical training,is for,mining industry
countries,organized,conventions implementation
conventions implementation,financing,GEF
projects,help,NGOs
highest priority on,reduction of,mercury use
Guyana,participating,caribbean mia
Guyana,developing,national action plan
Guyana,established,other initiatives
other initiatives,limit,mercury emissions
French Guiana,is,overseas territory
overseas territory,defined,french constitution
french constitution,part of,european union
french law,governs,french constitution
territory,is part of,region
territory,subject to,change
countries,have,mining legislation
territory,composed of,forest
forest,contribute to,low deforestation rate
department environment and natural resources,supported,UNDP
garimpeiros,employed,methods
methods,using,cyanide
methods,using,mercury
methods,contaminating,water sources
France,signed,minamata convention
France,ratified,minamata convention
national environmental legislation,established,rules
rules,regarding,mercury use
rules,restricting,establishments
rules,regulates,waste
european councils guidelines,apply to,French Guiana
French Guiana,begun taking,steps
steps,regarding,effects
effects,preventing,mercury use
gold amalgams,poisions,adolescents
gold amalgams,poisions,pregnant women
high level profit,caused,flows
flows,included,cases
cases,include,human trafficking
cases,include,illegal arms trade
EU regulation,prohibited,export mercury
peoples,liable to,fine
peoples,liable to,imprisonment
compliance regulation,adjusted to,future scope
shipments,can be,small
enforcement of regulation,is,difficult
businesses,must pay,taxes
central administration,is not,effective
laws,are not,implemented
coordination,has not,been sufficient
amalgamation alternatives,are not,effective
inspector,registered,records
records,are on,imports
regulations,are,limited
Suriname,signed,convention
countries,should be,ready
countries,created,map
map,allowed,comply
nimos,warned,countries
countries,ratified,minamata convention
countries,run into,risk
plan,is for,elimination of mercury use
objective,is to,design
design,related to,porject
porject,to protect,health
plan,provides,description
Suriname,follow,steps
Suriname,is,participating in minamata convention
projects,supported by,UNEP
assembly of ministries,working on,projects
policy areas,have,intervention
intervention,adjust,framework
agenda,aim to eliminate,mercury use
organization,has made,progress
lack of resources,has hindered,implementation
civil society organizations,have organized,work
gaps in information,are related,development
legislation,has been,designed
measures,have included,prohibitions
issued regulations,are being,reevaluated
lack in articulation,can be,observed
law making processes,have been,revitalized
complaints,have been,presented
organizations,seek,cases
cases,brought up by,interamerican commission
precautionary measures,employed by,IACHR
IACHR,employed,tres islas community
madre de dios,employed by,Peru
progress,regarding to,institutional responses
collaborative effort,taken by,countries
Brazil,in cooperation with,Guianas
Guianas,in cooperation with,Bolivia
Bolivia,in cooperation with,Brazil
Brazil,in cooperation with,Colombia
Colombia,in cooperation with,Peru
Peru,in cooperation with,Ecuador
Ecuador,programs,projects
problem,is not to limited,domestic legislature
domestic legislature,countering,illegal market
solution,prevent,consequences
problem,related to,effects
problem,related to,phenomena
minamata convention,determine,solutions
projects,derived,minamata convention
mechanisms,should have,options
mechanisms,should include,strategies
collaboration,support,secretariat
sebastian rubianogalvis,is,Colombian environmental lawyer
sebastian rubianogalvis,is,ph.d. candidate
ph.d. candidate,related to,department environmental science
sebastian rubianogalvis,is,cofounder
cofounder,related to,universidad de los andes environmental law research group
sebastian rubianogalvis specialties,include,connections
connections,found between,science technology and environmental law
importance,related to,biomagnification process
biomagnification process,related to,Bolivian amazon
measures,include,certification standards
certification standards,related to,mercury free gold trade
due diligence requirements,related to,mineral supply chain
organization,developed,due diligence guidance
due diligence guidance,related to,supply chains
OECD guidance,includes,topic of asgm
stakeholders,support,formalization
stakeholders,help,miners
supply chain policies,are created for,retailers
retailers,adopted,sourcing policies
sourcing policies,require,good environmental practices
good environmental practices,leads to,gold production
policies,directed to,large scale mining
policies,create,markets
markets,related to,small scale gold producers
development,related to,local businesses
local businesses,design,distinctive jewelry
distinctive jewelry,increase,wealth distribution
wealth distribution,found in,rural areas
socially responsible investment funds,seen,development
socially responsible investment funds,seen,growth
growth,found in,investment instruments
investment instruments,focus,investments
investments,sourced from,socially responsible companies
socially responsible companies,invest,trillions dollars investment
private sector,develop,instruments
instruments,include,gold producers
gold producers,related to,mercury free ASGM
guide,encourage,development
development,related to,marketbased mechanisms
NAP,ensure,traceability
NAP,ensure,certification practices
encouragement,related to,industrial scale mining companies
supply chain traceability,tracked through,tax incentives
stakeholders,discuss,development
development,related to,marketbased mechanism
marketbased mechanism,found in,regional mining conferences
tax incentives,related to,asgm sector
special programs,introduced to,artisanal miners
certain criteria should be met,related to,mercuryfree gold production
guide,recognizes,mechanisms
mechanisms,require,intervention
intervention,related to,independent verification
intervention,related to,certification
intervention,related to,ongoing monitoring
intervention,can be,challenging
intervention,can be,time consuming
parallel events,invited,speakers
parallel events,had,high level meetings
parallel events,had,presence
stakeholders,are,gold supply chain representatives
platform,promote,global opportunities
projects,launched by,GEF
projects,seeks,private sector actors
projects,attract,jewelry stores
projects,attract,electronic product manufacturers
projects,attract,gold refiners
projects,attract,commercial banks
projects,connect,miners
projects,connect,private actors
projects,ensure,gold production
projects,is working with,governments
projects,is working with,local authorities
projects,strengthen,land ownership
projects,strengthen,miners rights
projects,reduce,informality between companies
projects,promises,improve access
projects,promises,financing
projects,make,investments
project's budget,sourced by,million dollars
Guyanese president,stated,intervention
mechanisms,can benefit,supply chain
market approach,overlook,mining sector
NAP process,has,participation
participation,include,countries
Suriname,is working,development
Paraguay,is also,advancing
natural resource defense council,has published,a guide
projects,receive,support
strategies,benefit,supply chain
potential success,depends on,balance
interest,promote,markets
projects,are implemented in,countries
organization,promoted,fairmined certification
organization,works with,miners
cooperatives,are in,Bolivia
cooperatives,are in,Colombia
cooperatives,are in,Ecuador
cooperatives,are in,Peru
cooperatives,are in,Venezuela
cooperatives,minimize,use of mercury
cooperatives,apply,responsible practices
projects,are in,Latin America
projects,is,alliance
alliance,is with,swiss jeweler chopard
alliance,supports,miners
la llanada municipality,is in,nario Colombia
de agosto cooperative,is in,Bolivia
cooperative,introduce,responsible practices
cooperative,export,gold
projects,exist in,Peru
projects,exist in,suarez municipality
suarez municipality,exist in,cauca Colombia
projects,exist in,taraz antioquia
projects,focus on,gold mining
schemes,should be,promoted
issue,was,mercury contamination
priority,related to,working agenda
working agenda,related to,health
information exchange,related to,indigenous peoples
information exchange,identify,epidemiological profiles
dialogue process,is related to,indigenous peoples
uncontrolled use of mercury,affects,indigenous territories
companies,show,discriminatory attitudes
complaints,presented in,UN special rapporteur
declarations,limited to,regional human rights protection bodies
Andean policy,recognizes,illegal mining
mercury poisoning,affects,population's health
mercury poisoning,affects,environment
mercury poisoning,affects,natural resources
mercury poisoning,causes,loss appetite
environment,affects,vegetation cover
environment,affects,fertile soils
mercury contamination,affects,water resources
mercury poisoning,causes,alteration to juman body
mercury poisoning,affect,biodiversity
border areas,has increased,igm activities
civil society,began,organizing
IIED,focuses on,illegal mining
civil society,faced,development
workshop,organized by,WWF
workshop,organized by,gaia amazonas foundation
workshop,organized by,Colombian national park unit
workshop,organized by,frankfurt zoological society
participants,deliberated,bogota declaration
bogota declaration,presented by,WWF
bogota declaration,presented to,minamata convention's cop
bogota declaration,represent,civil society
civil society,represent,Bolivia
civil society,represent,Colombia
Bolivia,conducted,mining activities
Colombia,conducted,mining activities
public health,caused by,indiscriminate use of mercury
indiscriminate use of mercury,result in,mercury contamination
Latin America,prepare for,second meeting
order,promote,reduction
reduction,affect,mercury use
information,must be,transparent
measures,care for,public health
strategy,care for,people
organizations,progressing,creation of new system
creation of new system,regarding,mercury use
Bolivia,has a,party
party,signed,minamata convention
countries,begin,work
work,to construct,inventory
inventory,regarding,mercury releases
national program,created,movement
national program,created,measures
measures,to reduce,mercury contamination
movement,related to,mercury contamination
initiatives,related to,treatment
initiatives,related to,management
company,rewarded with,bronze seal
training,related to,gold miners
implementation,found in,mining zones
precambrian rocks,are,important area
important area,related to,mining operations
modern technology,extracts,gold
igm Suriname,has changed to,medium scale mining
amalgamation,combined with,weir boxes
weir boxes,do not,employ tailings ponds
deforestation,causes,hydrological destruction
hydrological destruction,increase,turbidity
turbidity,found in,rivers
drastic change,found in,aquatic vegetation
drastic change,found in,fish populations
soil erosion,releases,mercury
biomass burning,is,source of emissions
UNEP inventory,calculated,emissions
evidence,shows,mercury concentrations
waste,dumped on,mining and amalgam burning processes
programs,monitor,water systems
lack information,found on,atmospheric transport
atmospheric transport,related to,mercury
biomass combustion,not measured,recent years
research,include,deforestation
research,include,land use change
discussions,found on,dams energy
discussions,found on,climate change
construction,related to,large dams
Bolivia,become,second highest emitter
second highest emitter,related to,mercury emissions
national inventory,is,a place
countries,have,good background
good background,found in,academic research
beni,are,critical point
madre de dios,are,critical point
critical points,related to,mercury contamination
highest risk,related to,exposure to mercury
exposure to mercury,related to,mercury pollution
Colombia,emits,mercury
madre de dios area,is,contaminated
contamination,is in,Amazon region
yanomami territory,is,critical point
critical point,is in,Amazon region
information,is in,Guianas
problems,caused by,mercury contamination
rio summit,addressed,management
implementation plan,established on,chemical use
strategy,attempts,regulation
convention,adopted,approach
industries,included,scope
convention,include,measures
convention,adopt,quotas
convention,quantify,reduction
convention,establish,limits
convention,stresses,association
convention,defines,igm
convention,impose,reduction of mercury use
convention,requires,reduction of mercury use
signatory country,present,plan
national action plan,requires,objectives
parties,develop,strategies
convention,talks about,asgm
national regulation systems,implement,treatys commitments
Colombian constitutional court,endorsed,law
law,approved,treaty
France,have signed,minamata convention
Venezuela,not having ratified,minamata convention
Colombia,having ratified,minamata convention
minamata convention,applies,treatys parties
treatys parties,decide,igm activities
minamata convention,implement,solutions
countries,identified,igm activities
actions,eliminate,whole ore amalgamation
actions,eliminate,open burning amalgam
actions,eliminate,burning amalgam
actions,eliminate,cyanide leaching
steps,facilitate,formalization
baseline estimates,used measure,quantities of mercury
strategies,promoting,reduction of mercury emissions
strategies,managing,gold trade
strategies,preventing,diversion
public health strategy,include,gathering health data
public health strategy,include,training healthcare workers
public health strategy,prevent,mercury exposure
supplier,using,mercury-free methods
information,available on,mercury use
project,connects,people
main source,is of,mercury
mercury,is in,human organism
mercury exposure,examined in,clinical symptoms
clinical symptoms,associated to,population
population,presented,memory loss
population,showed,mood swings
population,experienced,muscular weakness
population,had,muscle tremors
population,suffered,headaches
population,had,allergies
population,experienced,skin peeling
children,showed,decreased attention spans
children,had,reduced iq
population,showed,increased domestic violence
population,had,growing rates anxiety
population,experienced,depression
population,had,migraines
population,showed,decreased motivation
population,had,more feelings
more feelings,are of,hopelessness
population,experienced,health issues
population,had,irritability
population,suffered,sleeping disorders
population,experienced,loss appetite
igm,contribute to,national GDP
protected areas,are in,Bolivar
protected areas,are in,Amazonas
Venezuela,recognized as,risk mercury exposure
investigation,conducted by,yekuana indigenous organization
investigation,conducted by,Venezuelan scientists
investigation,conducted by,lasalle foundation
investigation,conducted by,natural sciences guayana campus
investigation,conducted by,wildlife conservation society
investigation,conducted by,oriente university
wastewater discharges,found in,sediments Suriname
mercury,found in,tapajs river
migrants,came from,northern Brazil
garimpeiros,is part of,larger population
larger population,related to,migrant miners
dumping,affects,environment
dumping,causes,mercury contamination
river sediments,found at,rivers
massive migration,is of,Brazilian garimpeiros
Guiana rainforest,has been,untouched
Guiana rainforest,is,important area
important area,should prioritize,conservation
UNEP,identified,discrepancies
discrepancies,found in,imports
discrepancies,found in,exports
United Kingdom,reported,discrepancies
Singapore,reported,discrepancies
Ethiopia,reported,discrepancies
Brazil,reported,imports more mercury
Peru,reported,imports more mercury
Guyana,reported,imports more mercury
recent legislation,prohibited,mercury exports
european union,prohibited,mercury exports
USA,prohibited,mercury exports
greenstone belt,located in,Suriname
Colombia,use,igm activities
Ecuador,use,igm activities
Brazil,use,igm activities
Peru,use,igm activities
Bolivia,use,igm activities
agrarian colonization,use,igm activities
Colombia,use,igm activities
Colombia,has,60 mt/year of mercury emissions
Bolivia,has,45 mt/year of mercury emissions
Peru,has,26 mt/year of mercury emissions
Brazil,has,23 mt/year of mercury emissions
Ecuador,has,18 mt/year of mercury emissions
Guyana,has,11 mt/year of mercury emissions
Suriname,has,6 metric tons per year of mercury emissions
Venezuela,has,6 metric tons per year of mercury emissions
French Guiana,has,6 metric tons per year of mercury emissions
mercury concentrations,found in,Smooth hound sharks
mercury concentrations,found in,Sharpnose sharks
mercury concentrations,found in,Thresher sharks
mercury concentrations,found in,Tiger sharks
mercury concentrations,found in,Blue shark
mercury concentrations,found in,Bonnethead and Hammerhead sharks
mercury concentrations,found in,Sawtail cat sharks
mercury concentrations,found in,Makos
mercury concentrations,found in,Winghead shark
mercury concentrations,found in,Spotted cat sharks
mercury concentrations,found in,Lemon sharks
mercury concentrations,found in,Gray sharks
mercury concentrations,found in,Narrowtail cat sharks
mercury concentrations,found in,Largetooth sand tigers
mercury concentrations,found in,Great white shark
Sub-Saharan Africa,contribute,mercury releases
South Asia,contribute,mercury releases
Middle Eastern states,contribute,mercury releases
North America,contribute,mercury releases
South America,contribute,mercury releases
North Africa,contribute,mercury releases
EU28,contribute,mercury releases
European countries,contribute,mercury releases
CIS,contribute,mercury releases
Caribbean,contribute,mercury releases
Central America,contribute,mercury releases
Australia,contribute,mercury releases
New Zealand,contribute,mercury releases
oil refining,contribute,mercury releases
mercury production,contribute,mercury releases
large scale gold mining,contribute,mercury releases
"non-ferrous metal production (Al, Cu, Pb, Zn)",contribute,mercury releases
Coal-fired power plants,contribute,mercury releases
municipal waste water,contribute,mercury releases
coal washing,contribute,mercury releases
mercury-added products,contribute,mercury releases
Chlor-alkali (Hg cell),contribute,mercury releases
economic activities,will contribute,policy frameworks
economic activities,will contribute,practices
economic activities,will support,viable ASGM sector
economic activities,will support,legal ASGM associations
economic activities,will undertake,geological research
economic activities,will participate in,knowledge
economic activities,will participate in,skills
economic activities,will participate in,technologies
company,comprises,strategic Framework
company,promote,livelihoods
company,improve,conditions
company,ensuring,security
company,ensuring,people
company,ensuring,assets
company,improving,risks
company,influence,policies
company,align,practices
company,minimise,conflict
company,improve,miners
company,improve,standards
company,improve,norms
company,improve,livelihoods
company,work,actors
company,promote,stakeholders
company,seek,artisanal and small-scale miners
company,maintain,livelihood
company,support,ASGM
research,have helped,companies
research,have helped,supply chains
research,have helped,commodities
research,have helped,mercury
research,have helped,senior politicians
research,have helped,army officers
research,have helped,illegal activities
research,conducted on,communities
research,conducted on,local illegal ASGM activities
research,conducted on,LSM company
research,conducted on,community relations
research,conducted on,social investment operation
research,conducted on,Ghana
livelihoods,increased for,artisanal miners
livelihoods,increased for,semi-skilled operatives
studies,may include,overlap
studies,may include,mine workforce
studies,may include,family members
studies,may include,lack of information
studies,may include,identification
miners,make,decision
miners,operate in,groups
miners,pay to,landowner
miners,are supported by,funders
miners,are supported by,pit owners
miners,ensure,ASM sites
leaders,conduct,rites
leaders,ensure,profitability
leaders,ensure,safety
miners,are,Malian nationals
miners,are,Burkinabes
miners,are,Ivorians
miners,are,Guineans
company,increase outreach to,external partners
company,increase outreach to,local authorities
company,build,local trust
LSM companies,negotiate,local ASGM groups
LSM companies,influenced by,national authorities
LSM companies,influenced by,small-scale miners
LSM companies,influenced by,geological factors
LSM companies,influenced by,ASGM social and environmental practices
miners,may be reluctant to enter into,LSM operation
miners,have lack of trust in,company
miners,sense of grievance about the presence of,mine
miners,include,economic sectors
miners,little desire to change,status quo
miners,fears of becoming liable to pay,"taxes, royalties and/or permit fees"
miners,concerns about increased,environmental and safety costs
miners,apprehension about other forms,regulation
miners,seeking,help
miners,are suspicious about,authority
miners,have suspicion on,institutions
miners,concern about getting,deal
miners,bear the cost of,equipment
miners,are reluctant to embark on,processes
miners,have unwillingness towards,organisation
middlemen,provide loans to sponsor,mining activities
middlemen,offer access to,markets
middlemen,provide,mining activities
middlemen,offer,markets
middlemen,form,long-term mutually beneficial relationship
middlemen,are,complex supply chains
middlemen,lend,informal and formal small-scale miners
middlemen,are,legitimate market players
middlemen,make,challenging economic circumstances
middlemen,could,supply chains
companies,regard,intervention
companies,owe to,workers
companies,owe to,investors
companies,help,police or army
companies,seek,community-based miners
companies,keep,staff and assets and local people
companies,seek host of,governments